"","Age_e","season","r","Heat","Fluids","Steroid","NSAID","Antibiotic","G_O","Sex_e","predicted_disposition"
"1","adult-like","Winter","unknown",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.287819469881965
"2","adult-like","Winter","unknown",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.34784500460027
"3","adult-like","Winter","caught by domestic animal",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.250501465015135
"4","adult-like","Spring","window hit",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.466541285531193
"5","adult-like","Spring","found inside",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.40376111694237
"6","adult-like","Spring","found on the ground",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.433719772251276
"7","adult-like","Spring","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.367219661665241
"8","adult-like","Spring","nest-related",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.407302276088932
"9","adult-like","Spring","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.367219661665241
"10","adult-like","Spring","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.367219661665241
"11","adult-like","Spring","window hit",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.398550612759282
"12","Nestling","Spring","nest-related",1,1,0,0,0,"Selasphorus spp.","unknown",0.707032772003096
"13","Nestling","Spring","nest-related",1,1,0,0,0,"Selasphorus spp.","unknown",0.707032772003096
"14","adult-like","Spring","found inside",1,1,0,0,0,"Selasphorus spp.","Female-like ",0.416820652888621
"15","adult-like","Spring","found on the ground",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.433719772251276
"16","adult-like","Spring","caught by domestic animal",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.433704129553898
"17","adult-like","Spring","found on the ground",0,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.50440173700072
"18","adult-like","Fall","found on the ground",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.226684403733016
"19","adult-like","Winter","unknown",1,1,1,0,0,"Non-selasphorus spp.","Female-like ",0.183386899420606
"20","adult-like","Winter","found on the ground",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.306102725747192
"21","adult-like","Winter","window hit",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.334979634971297
"22","adult-like","Spring","found on the ground",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.433719772251276
"23","Nestling","Spring","nest-related",0,1,0,0,0,"Non-selasphorus spp.","unknown",0.800401806929884
"24","Nestling","Spring","nest-related",1,1,0,0,0,"Non-selasphorus spp.","unknown",0.751104138789898
"25","adult-like","Spring","found inside",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.471943187574778
"26","adult-like","Spring","found inside",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.40376111694237
"27","adult-like","Spring","unknown",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.480806310141132
"28","adult-like","Spring","found on the ground",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.433719772251276
"29","adult-like","Spring","found on the ground",0,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.50440173700072
"30","adult-like","Spring","caught by domestic animal",1,1,0,0,0,"Selasphorus spp.","Female-like ",0.379835247988971
"31","adult-like","Fall","caught by domestic animal",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.226673239119134
"32","adult-like","Fall","window hit",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.202305630422032
"33","adult-like","Fall","caught by domestic animal",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.181730801485928
"34","adult-like","Fall","window hit",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.202305630422032
"35","adult-like","Fall","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.181740272716446
"36","adult-like","Fall","found on the ground",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.226684403733016
"37","adult-like","Winter","found on the ground",1,0,1,0,0,"Non-selasphorus spp.","Female-like ",0.123367740315857
"38","adult-like","Winter","found on the ground",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.306102725747192
"39","adult-like","Winter","unknown",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.34784500460027
"40","adult-like","Winter","caught by domestic animal",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.250501465015135
"41","adult-like","Winter","caught by domestic animal",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.250501465015135
"42","adult-like","Winter","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.250513423077593
"43","Nestling","Winter","unknown",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.573505471526507
"44","adult-like","Winter","found on the ground",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.306102725747192
"45","adult-like","Winter","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.250513423077593
"46","adult-like","Winter","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.250513423077593
"47","Nestling","Winter","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.526547517493053
"48","adult-like","Winter","found on the ground",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.306102725747192
"49","adult-like","Spring","unknown",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.412343651357241
"50","adult-like","Spring","unknown",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.412343651357241
"51","adult-like","Spring","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.367219661665241
"52","adult-like","Spring","caught by domestic animal",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.367204862129646
"53","adult-like","Spring","found on the ground",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.433719772251276
"54","adult-like","Spring","caught by domestic animal",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.433704129553898
"55","adult-like","Spring","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.367219661665241
"56","Nestling","Spring","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.658811599464181
"57","adult-like","Spring","window hit",1,0,0,0,0,"Selasphorus spp.","Female-like ",0.346377363041384
"58","adult-like","Spring","unknown",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.412343651357241
"59","Nestling","Spring","unknown",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.700122382053803
"60","Nestling","Spring","caught by domestic animal",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.658797283099733
"61","Nestling","Spring","nest-related",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.695728055509723
"62","adult-like","Spring","found inside",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.40376111694237
"63","adult-like","Spring","caught by domestic animal",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.367204862129646
"64","adult-like","Spring","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.367219661665241
"65","adult-like","Spring","unknown",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.412343651357241
"66","Nestling","Spring","nest-related",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.695728055509723
"67","Nestling","Spring","nest-related",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.695728055509723
"68","adult-like","Spring","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.367219661665241
"69","adult-like","Spring","caught by domestic animal",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.367204862129646
"70","adult-like","Spring","found inside",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.40376111694237
"71","Nestling","Spring","nest-related",1,0,0,0,0,"Selasphorus spp.","unknown",0.646466593448712
"72","Nestling","Spring","nest-related",1,0,0,0,0,"Selasphorus spp.","unknown",0.646466593448712
"73","adult-like","Spring","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.367219661665241
"74","adult-like","Spring","window hit",1,0,0,0,0,"Selasphorus spp.","Female-like ",0.346377363041384
"75","Nestling","Spring","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.658811599464181
"76","adult-like","Spring","found inside",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.40376111694237
"77","adult-like","Spring","caught by domestic animal",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.367204862129646
"78","adult-like","Spring","unknown",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.412343651357241
