Admitted,Place,Case_Year,Admitted,Found_on,Brought_in_after,City,County,Reason,Reason_edited,Reason_e,First_aid,Species,Species_e,Sex,Sex_e,Age,Age_e,G_O,Disposition,DDate,weight,BCS,attitude,dehydration,head,CNS,cardiopulmonary,GI,musculoskeletal,integument,body,forelimb,forelimb_e,hindlimb,hindlimb_e,treatment,Heat,Fluids,NSAID,Antibiotic,Steroid,treatment_e,admit_date,found_date,ID,r,Disposition_binary,F_Aid,month,season
1991-01-02,Lindsey,1991,1991-01-02,1991-01-02,0,Concord,Contra Costa County,,unknown,unknown,sugar water,ANHU,ANHU,unknown,Female-like ,Adult,adult-like,Non-selasphorus spp.,Released,1991-01-10 00:00:00,,unknown,unknown,unknown,,,,,,,,,unknown,,unknown,heat,1.0,0.0,0.0,0.0,0.0,yes,1991-01-02,1991-01-02,2_ANHU,unknown,Released,Yes,1,Winter
1991-01-05,Lindsey,1991,1991-01-05,1991-01-01,4,Martinez,Contra Costa County,lethargic,unknown,unknown,unknown,ANHU,ANHU,unknown,Female-like ,Adult,adult-like,Non-selasphorus spp.,Died in 24hr,1991-01-06 00:00:00,,unknown,unknown,unknown,,,,,,,,,unknown,,unknown,"heat, fluids",1.0,1.0,0.0,0.0,0.0,yes,1991-01-05,1991-01-01,4_ANHU,unknown,Died,No,1,Winter
1991-02-05,Lindsey,1991,1991-02-05,1991-02-05,0,Martinez,Contra Costa County,possibly stunned- also possibly  cat caught,caught by domestic animal,caught by domestic animal,unknown,ANHU,ANHU,unknown,Female-like ,Adult,adult-like,Non-selasphorus spp.,Died in 24hr,1991-02-05 00:00:00,,unknown,unknown,unknown,,,,,,,,,unknown,,unknown,heat,1.0,0.0,0.0,0.0,0.0,yes,1991-02-05,1991-02-05,18_ANHU,caught by domestic animal,Died,No,2,Winter
1991-03-19,Lindsey,1991,1991-03-19,1991-03-19,0,Pleasant Hill,Contra Costa County,flew into window,window hit,window hit,unknown,ANHU,ANHU,unknown,Female-like ,Adult,adult-like,Non-selasphorus spp.,Euthanized +24hr,1991-03-26 00:00:00,,unknown,unknown,unknown,,,,,,,,,unknown,,unknown,"heat, fluid",1.0,1.0,0.0,0.0,0.0,yes,1991-03-19,1991-03-19,35_ANHU,window hit,Died,No,3,Spring
1991-03-20,Lindsey,1991,1991-03-20,1991-03-20,0,Pleasant Hill,Contra Costa County,caught in building,found in the building,found inside,unknown,ANHU,ANHU,unknown,Female-like ,Adult,adult-like,Non-selasphorus spp.,Died in 24hr,1991-03-20 00:00:00,,unknown,unknown,unknown,,,,,,,,,unknown,,unknown,"heat, food",1.0,0.0,0.0,0.0,0.0,yes,1991-03-20,1991-03-20,36_ANHU,found inside,Died,No,3,Spring
1991-03-21,Lindsey,1991,1991-03-21,1991-03-21,0,Orinda,Contra Costa County,lying on ground,found on the ground,found on the ground,unknown,ANHU,ANHU,unknown,Female-like ,Adult,adult-like,Non-selasphorus spp.,Died in 24hr,1991-03-22 00:00:00,,unknown,unknown,unknown,,,,,,,,,unknown,,unknown,"heat, fluids",1.0,1.0,0.0,0.0,0.0,yes,1991-03-21,1991-03-21,38_ANHU,found on the ground,Died,No,3,Spring
1991-03-26,Lindsey,1991,1991-03-26,1991-03-26,0,Walnut Creek,Contra Costa County,wet-found by student,found on the ground,found on the ground,sugar water,ANHU,ANHU,unknown,Female-like ,Fledgling,adult-like,Non-selasphorus spp.,Euthanized +24hr,1991-03-29 00:00:00,,unknown,unknown,unknown,,,,,,,,,unknown,,unknown,"heat, food",1.0,0.0,0.0,0.0,0.0,yes,1991-03-26,1991-03-26,45_ANHU,found on the ground,Died,Yes,3,Spring
1991-04-04,Lindsey,1991,1991-04-04,1991-04-03,1,Pittsburg,Contra Costa County,kept falling out of nest,fell out of a nest,nest-related,sugar water,ANHU,ANHU,unknown,Female-like ,,adult-like,Non-selasphorus spp.,Died +24hr,1991-04-15 00:00:00,,unknown,unknown,unknown,,,,,,,,,unknown,,unknown,"heat, food",1.0,0.0,0.0,0.0,0.0,yes,1991-04-04,1991-04-03,51_ANHU,nest-related,Died,Yes,4,Spring
1991-04-04,Lindsey,1991,1991-04-04,1991-04-04,0,Lafayette,Contra Costa County,in pond,found in the pool,found on the ground,unknown,ANHU,ANHU,unknown,Female-like ,,adult-like,Non-selasphorus spp.,Euthanized in 24hr,1991-04-04 00:00:00,,unknown,unknown,unknown,,,,,,,,,unknown,,unknown,heat & food,1.0,0.0,0.0,0.0,0.0,yes,1991-04-04,1991-04-04,52_ANHU,found on the ground,Died,No,4,Spring
1991-04-05,Lindsey,1991,1991-04-05,1991-04-05,0,Oakland,Alameda County,in street HBC,found on the ground,found on the ground,sugar water,ANHU,ANHU,unknown,Female-like ,,adult-like,Non-selasphorus spp.,Died in 24hr,1991-04-05 00:00:00,,unknown,unknown,unknown,,,,,,,,,unknown,,unknown,heat-food,1.0,0.0,0.0,0.0,0.0,yes,1991-04-05,1991-04-05,55_ANHU,found on the ground,Died,Yes,4,Spring
1991-04-27,Lindsey,1991,1991-04-27,1991-04-25,2,Lafayette,Contra Costa County,flew into window,window hit,window hit,sugar water,ANHU,ANHU,unknown,Female-like ,Juvenile,adult-like,Non-selasphorus spp.,Euthanized +24hr,1991-04-29 00:00:00,,unknown,unknown,unknown,,,,,,,,,unknown,,unknown,heat-washed,1.0,0.0,0.0,0.0,0.0,yes,1991-04-27,1991-04-25,82_ANHU,window hit,Died,Yes,4,Spring
1991-05-25,Lindsey,1991,1991-05-25,1991-05-25,0,San Ramon,Contra Costa County,nest cut down from tree,nest cut from the tree,nest-related,unknown,ALHU,Selasphorus,unknown,unknown,Nestling,Nestling,Selasphorus spp.,Died +24hr,1991-05-28 00:00:00,,unknown,unknown,unknown,,,,,,,,,unknown,,unknown,"heat, fluids",1.0,1.0,0.0,0.0,0.0,yes,1991-05-25,1991-05-25,101_ALHU,nest-related,Died,No,5,Spring
1991-05-25,Lindsey,1991,1991-05-25,1991-05-25,0,San Ramon,Contra Costa County,nest cut down from tree,nest cut from the tree,nest-related,unknown,ALHU,Selasphorus,unknown,unknown,Nestling,Nestling,Selasphorus spp.,Released,1991-06-29 00:00:00,,unknown,unknown,unknown,,,,,,,,,unknown,,unknown,"heat, fluids",1.0,1.0,0.0,0.0,0.0,yes,1991-05-25,1991-05-25,102_ALHU,nest-related,Released,No,5,Spring
